2048	4	45523	G72	4	21	118.395824	25.09189347
2049	2	45523	G72	4	21	118.395824	25.09189347
2050	5	45524	G72	6	19	118.274008	25.24714653
2051	3	45524	G72	6	19	118.274008	25.24714653
2052	1	45524	G72	6	19	118.274008	25.24714653
2053	6	45525	G72	6	19	118.2678638	25.25891885
2054	4	45525	G72	6	19	118.2678638	25.25891885
2055	2	45525	G72	6	19	118.2678638	25.25891885
2056	3	45526	G72	7	17	118.2350923	25.28935928
2057	1	45526	G72	7	17	118.2350923	25.28935928
2058	4	45527	G72	8	17	118.2196859	25.29181212
2059	2	45527	G72	8	17	118.2196859	25.29181212
2060	3	45528	G72	12	15	118.1680439	25.38862434
2061	1	45528	G72	12	15	118.1680439	25.38862434
2062	4	45529	G72	12	14	118.1548537	25.39954962
2063	2	45529	G72	12	14	118.1548537	25.39954962
2064	3	45530	G72	12	14	118.1179096	25.42701343
2065	1	45530	G72	12	14	118.1179096	25.42701343
2066	3	45531	G72	12	14	118.1053591	25.43381687
2067	1	45531	G72	12	14	118.1053591	25.43381687
2068	4	45532	G72	12	14	118.0947792	25.45191198
2069	2	45532	G72	12	14	118.0947792	25.45191198
2070	4	45533	G72	12	14	118.0991671	25.44365075
2071	2	45533	G72	12	14	118.0991671	25.44365075
2072	3	45534	G72	12	14	118.0847394	25.46752312
2073	1	45534	G72	12	14	118.0847394	25.46752312
2074	3	45535	G72	12	14	118.0825684	25.46936967
2075	1	45535	G72	12	14	118.0825684	25.46936967
2076	4	45536	G72	12	14	118.0749581	25.47770527
2077	2	45536	G72	12	14	118.0749581	25.47770527
2078	4	45537	G72	12	14	118.0772842	25.47630979
2079	2	45537	G72	12	14	118.0772842	25.47630979
2080	3	45538	G72	12	14	118.0481302	25.4788877
2081	1	45538	G72	12	14	118.0481302	25.4788877
2082	3	45539	G72	12	14	118.04496	25.47921052
2083	1	45539	G72	12	14	118.04496	25.47921052
2084	4	45540	G72	12	14	118.0264803	25.48453962
2085	2	45540	G72	12	14	118.0264803	25.48453962
2086	4	45541	G72	12	14	118.029584	25.48257011
2087	2	45541	G72	12	14	118.029584	25.48257011
2088	3	45542	G72	12	14	118.0284254	25.48320476
2089	1	45542	G72	12	14	118.0284254	25.48320476
2144	1	45596	G76	4	14	117.4512916	24.6589235
2145	3	45596	G76	4	14	117.4512916	24.6589235
2146	2	45596	G76	4	14	117.4512916	24.6589235
2147	4	45596	G76	4	14	117.4512916	24.6589235
2148	1	45597	G76	5	13	117.3285174	24.77098237
2149	3	45597	G76	5	13	117.3285174	24.77098237
2150	2	45597	G76	5	13	117.3285174	24.77098237
2151	4	45597	G76	5	13	117.3285174	24.77098237
2158	4	45566	G70	2	17	119.2324571	25.98821812
2159	2	45566	G70	2	17	119.2324571	25.98821812
2160	4	45567	G70	2	17	119.2324571	25.98821812
2161	2	45567	G70	2	17	119.2324571	25.98821812
2162	3	45568	G70	2	17	119.2324571	25.98821812
2163	1	45568	G70	2	17	119.2324571	25.98821812
2164	3	45569	G70	2	17	119.2324571	25.98821812
2165	1	45569	G70	2	17	119.2324571	25.98821812
2166	4	1342	G70	5	14	119.1064789	26.13226966
2167	2	1342	G70	5	14	119.1064789	26.13226966
2168	3	1343	G70	5	14	119.0917852	26.13790474
2169	1	1343	G70	5	14	119.0917852	26.13790474
2170	4	45572	G70	7	12	118.5348155	26.29164249
2171	2	45572	G70	7	12	118.5348155	26.29164249
2172	3	45574	G70	7	12	118.5348155	26.29164249
2173	1	45574	G70	7	12	118.5348155	26.29164249
2174	3	1344	G70	5	14	118.85569	26.1735425
2175	1	1344	G70	5	14	118.85569	26.1735425
2176	4	1345	G70	5	14	118.9308794	26.19239649
2177	2	1345	G70	5	14	118.9308794	26.19239649
2178	3	1346	G70	5	14	118.9202463	26.19264102
2179	1	1346	G70	5	14	118.9202463	26.19264102
2180	4	45577	G70	6	13	118.7749916	26.17680937
2181	2	45577	G70	6	13	118.7749916	26.17680937
2182	3	45579	G70	6	13	118.7432111	26.16984971
2183	1	45579	G70	6	13	118.7432111	26.16984971
2184	4	45581	G70	6	13	118.7441135	26.16935647
2185	2	45581	G70	6	13	118.7441135	26.16935647
2186	3	45583	G70	7	12	118.6451924	26.19624999
2187	1	45583	G70	7	12	118.6451924	26.19624999
155	1	1456	S35	2	5	118.9711809	25.84173266
156	3	1456	S35	2	5	118.9711809	25.84173266
157	5	1456	S35	2	5	118.9711809	25.84173266
158	1	1457	S35	0	7	119.2103611	25.92562535
159	3	1457	S35	0	7	119.2103611	25.92562535
160	5	1457	S35	0	7	119.2103611	25.92562535
161	2	1458	S35	0	7	119.1911089	25.91632123
162	4	1458	S35	0	7	119.1911089	25.91632123
163	6	1458	S35	0	7	119.1911089	25.91632123
164	2	1459	S35	3	4	118.8016986	25.74470601
165	4	1459	S35	3	4	118.8016986	25.74470601
166	6	1459	S35	3	4	118.8016986	25.74470601
224	4	1282	G15	51	5	117.7213417	24.05745473
225	2	1282	G15	51	5	117.7213417	24.05745473
226	3	1282	G15	51	5	117.7213417	24.05745473
229	2	1019	G15	56	0	117.340391	23.77046056
230	3	1019	G15	56	0	117.340391	23.77046056
231	4	1020	G15	55	1	117.385258	23.88551767
232	4	1103	G15	54	2	117.4108713	23.94249911
233	2	1103	G15	54	2	117.4108713	23.94249911
234	3	1103	G15	54	2	117.4108713	23.94249911
235	1	1103	G15	54	2	117.4108713	23.94249911
236	4	1162	G15	52	4	117.7191	24.05150272
237	2	1162	G15	52	4	117.7191	24.05150272
238	3	1162	G15	52	4	117.7191	24.05150272
